"编号","开始答题时间","结束答题时间","答题时长","1.屏息","2.1. 经典乌合","3.2. 条件分成","4.3. 互斥","5.4. 避多寻少","6.5. 投资","7.6. 美人投票","8.7. 条件多选2:A.1.5，该选项人数","8.7. 条件多选2:B.1.8，该选项人数>=9","8.7. 条件多选2:C.2.1，该选项人数在4~7范围内","8.7. 条件多选2:D.2.4，B选项人数同时大于或小于AC","8.7. 条件多选2:E.2.7前四项完成数>=3","9.8. 胆量测试:A.只要你选中该选项，你固定得0分，无视全局条件","9.8. 胆量测试:B.0.5","9.8. 胆量测试:C.0.7","9.8. 胆量测试:D.0.9","9.8. 胆量测试:E.1.1","9.8. 胆量测试:F.1.3","9.8. 胆量测试:G.1.5","10.9. 真实:A.1","10.9. 真实:B.1.2","10.9. 真实:C.1.4","10.9. 真实:D.1.6","10.9. 真实:E.1.8","10.9. 真实:F.2","11.10. 残局","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","用户昵称ID","自定义字段","IP","UA","Referrer",""
"14","12-Aug-2026 22:17:05","12-Aug-2026 22:20:17","192","b","2","3","3","1","4","	10","","","1","","","","","","","1","","","1","1","","","","","1","简体中文","未清洗","","新加坡","新加坡","","QQ","jPdx2GJwgj","Yy","","117**********","Mozilla/5.0 (Linux; Android 16; V2427 Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.181 Mobile Safari/537.36 V1_AND_SQ_9.2.75_13520_YYB_D QQ/9.2.75.34700 NetType/4G WebP/0.4.1 AppId/537344683 Pix","",""
"13","12-Aug-2026 22:10:35","12-Aug-2026 22:11:16","41","","4","2","3","4","3","	3","1","","","","","","","1","1","1","","","1","","1","","","1","1","简体中文","未清洗","","中国","湖北省","武汉市","QQ","rLAQN3oBP8","Mithril","","111********","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) QQEX/9.9.32-51246 Chrome/144.0.7559.60  Safari/537.36 OS/win32,x64 QQAppId/537376512 QQEXBrowser/1.0.0.0 QQWebContentView/1.0.0.0","",""
"12","12-Aug-2026 22:02:37","12-Aug-2026 22:05:27","170","Q","3","2","1","1","4","	4","1","1","","1","","","1","1","1","","","","1","1","1","","","","2","简体中文","未清洗","","中国","福建省","厦门市","QQ","rkxqbenw18","奇策十二","","240************************************","Mozilla/5.0 (Linux; Android 12; FIN-AL60a Build/HUAWEIFIN-AL60a; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/4G WebP/0.3.0 ","",""
"11","12-Aug-2026 21:38:27","12-Aug-2026 21:38:31","4","","5","1","1","4","2","	5","","1","","","","","","","","1","","","","1","","","","","1","简体中文","未清洗","","中国","江苏省","苏州市","QQ","VyZqa9WxAj","晨曦","","240***********************************","Mozilla/5.0 (Linux; Android 14; ROD-W09 Build/HONORROD-W09; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.0 App","",""
"10","12-Aug-2026 21:13:23","12-Aug-2026 21:37:16","1433","Q","2","2","4","1","1","	10","","","1","1","","","","1","1","1","1","1","","","","","","1","2","简体中文","未清洗","","中国","四川省","成都市","QQ","ywBpKdVKej","Ushia","","240***********************************","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) QQEX/6.9.89-45758 Chrome/138.0.7204.35  Safari/537.36 OS/darwin,x64 QQAppId/537340237 QQEXBrowser/1.0.0.0 QQWebContentView/1.0.0.0","https://graph.qq.com/",""
"9","12-Aug-2026 21:16:37","12-Aug-2026 21:18:36","119","F","2","2","2","4","1","	0","1","","","","","1","","","","","","","1","","","","","","2","简体中文","未清洗","","中国","内蒙古自治区","","QQ","jnQp9w3do8","西二旗四惠东","","45.***********","Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3","",""
"8","12-Aug-2026 21:15:25","12-Aug-2026 21:17:58","153","","2","2","4","1","1","	4","1","","","","","1","","","","","","","1","","","","","","2","简体中文","未清洗","","中国","山东省","济南市","QQ","8lz2WQlddy","尧","","112***********","Mozilla/5.0 (Linux; Android 10; PPA-AL20 Build/HUAWEIPPA-AL40; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.0 ","",""
"7","12-Aug-2026 21:11:38","12-Aug-2026 21:14:20","162","","1","2","1","4","1","	0","1","1","","","","1","1","1","1","1","","","1","","","","","","2","简体中文","未清洗","","中国","广东省","广州市","QQ","y7DO67aMqr","#¥#@","","120************","Mozilla/5.0 (Linux; Android 16; 25113PN0EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.20_15050_YYB_D QQ/9.3.20.38525 NetType/WIFI WebP/","",""
"6","12-Aug-2026 21:06:59","12-Aug-2026 21:13:18","379","D","1","2","2","5","1","	10","1","","","","","1","1","1","1","","1","","","1","","","1","","1","简体中文","未清洗","","中国","上海市","上海市","QQ","ro2WE2YXly","飞鼠_Triones","","117*********","Mozilla/5.0 (Linux; Android 16; 24069RA21C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.4.1 AppId/537378244 Pix","",""
"5","12-Aug-2026 21:12:28","12-Aug-2026 21:12:52","24","","4","3","4","4","4","	2","1","","","","","","","","","1","","1","","1","1","","","1","2","简体中文","未清洗","","中国","四川省","自贡市","QQ","rEYDKJnAOr","落天本天","","240**********************************","Mozilla/5.0 (Linux; Android 16; 25113PN0EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.25_15220_YYB_D QQ/9.3.25.38950 NetType/WIFI WebP/","",""
