"编号","开始答题时间","结束答题时间","答题时长","1.1. 经典乌合","2.2. 红蓝按钮问题","3.3. 反向平分博弈","4.4. 限位器","5.5. 半食物链","6.6. 扭亏为盈","7.7. 幸运组合:A. A.-0.25","7.7. 幸运组合:B. B.-0.5","7.7. 幸运组合:C. C.-0.75","7.7. 幸运组合:D. D.-1","7.7. 幸运组合:E. E.-1.25","8.8. 数字炸弹:A. A.7","8.8. 数字炸弹:B. B.6","8.8. 数字炸弹:C. C.5","8.8. 数字炸弹:D. D.4","8.8. 数字炸弹:E. E.3","8.8. 数字炸弹:F. F.2","9.9. 伊甸园:A. A.红苹果(+1)","9.9. 伊甸园:B. B.银苹果(若人数比金苹果少+2，否则-2)","9.9. 伊甸园:C. C.金苹果(若人数比银苹果少或相等+3，否则-3)","10.10. 残局","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","用户昵称ID","自定义字段","IP","UA","Referrer",""
"11","13-Aug-2026 17:30:47","13-Aug-2026 17:31:07","20","6","3","4","5","4","	0","","","","","1","","","","","","1","","","1","2","简体中文","未清洗","","中国","湖北省","十堰市","QQ","ymEQK9RdAy","阳","","183**********","Mozilla/5.0 (Linux; Android 13; RMO-AN00 Build/HONORRMO-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.0 A","",""
"10","13-Aug-2026 15:41:48","13-Aug-2026 15:43:55","127","2","2","3","1","3","	0","1","","","","","","","","1","1","1","1","","","2","简体中文","未清洗","","中国","四川省","自贡市","QQ","rEYDKJnAOr","落天本天","","240***********************************","Mozilla/5.0 (Linux; Android 16; 25113PN0EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.25_15220_YYB_D QQ/9.3.25.38950 NetType/WIFI WebP/","",""
"9","13-Aug-2026 15:36:09","13-Aug-2026 15:39:20","191","5","1","4","5","4","	10","1","","","","","1","","","","1","1","","","1","1","简体中文","未清洗","","新加坡","新加坡","","QQ","jPdx2GJwgj","Yy","","117**********","Mozilla/5.0 (Linux; Android 16; V2427 Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.181 Mobile Safari/537.36 V1_AND_SQ_9.2.75_13520_YYB_D QQ/9.2.75.34700 NetType/4G WebP/0.4.1 AppId/537344683 Pix","",""
"8","13-Aug-2026 15:28:20","13-Aug-2026 15:29:47","87","2","1","3","2","1","	0","1","1","","","1","1","","","","1","1","1","","","2","简体中文","未清洗","","中国","江西省","南昌市","QQ","jKGD1mg2Rj","彼岸花","","240*********************************","Mozilla/5.0 (Linux; Android 10; V2002A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.0 A","",""
"7","13-Aug-2026 15:23:40","13-Aug-2026 15:26:41","181","6","1","3","1","4","	0","","1","1","1","1","1","1","1","1","","","1","","1","2","简体中文","未清洗","","中国","上海市","上海市","QQ","ro2WE2YXly","飞鼠_Triones","","117*********","Mozilla/5.0 (Linux; Android 16; 24069RA21C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36 V1_AND_SQ_9.3.35_15560_YYB_D QQ/9.3.35.39800 NetType/WIFI WebP/0.4.1 AppId/537380888 Pix","",""
"6","13-Aug-2026 15:07:01","13-Aug-2026 15:10:06","185","5","2","4","1","3","	2","","","1","","1","1","1","1","1","","","1","","1","2","简体中文","未清洗","","中国","四川省","成都市","QQ","ywBpKdVKej","Ushia","","240***********************************","Mozilla/5.0 (Linux; Android 15; 2206122SC Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.","",""
"5","13-Aug-2026 15:05:55","13-Aug-2026 15:08:58","183","2","3","1","1","4","	0","1","","","","1","1","","","","1","1","","1","1","1","简体中文","未清洗","","中国","山东省","济南市","QQ","8lz2WQlddy","尧","","112***********","Mozilla/5.0 (Linux; Android 10; PPA-AL20 Build/HUAWEIPPA-AL40; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.0 ","",""
"4","13-Aug-2026 15:05:48","13-Aug-2026 15:06:22","34","5","1","1","5","4","	3","1","","","","","1","1","1","1","","","1","","1","2","简体中文","未清洗","","中国","福建省","厦门市","QQ","rkxqbenw18","奇策十二","","27.***********","Mozilla/5.0 (Linux; Android 12; FIN-AL60a Build/HUAWEIFIN-AL60a; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3.","",""
"3","13-Aug-2026 15:04:34","13-Aug-2026 15:06:17","103","6","2","1","1","1","	2","","","","1","","","","1","1","1","1","1","1","","2","简体中文","未清洗","","中国","内蒙古自治区","","QQ","jnQp9w3do8","西二旗四惠东","","45.***********","Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.30_15390_YYB_D QQ/9.3.30.39375 NetType/WIFI WebP/0.3","",""
"2","13-Aug-2026 15:02:21","13-Aug-2026 15:05:03","162","1","3","1","5","3","	1","","1","","","1","","","","1","1","1","","1","","1","简体中文","未清洗","","中国","江苏省","苏州市","QQ","VyZqa9WxAj","晨曦","","240***********************************","Mozilla/5.0 (Linux; Android 14; ROD-W09 Build/HONORROD-W09; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.35_15560_YYB_D QQ/9.3.35.39800 NetType/WIFI WebP/0.3.0 App","",""
