赛季 S2 任务板
============================================================
[A] 单回合在T7~T9的选择项数完全不相同，且最终结算排名为1~6
[B] 连续2次在T5得到前3高的总分数
[C] 某回合你的作答与另一玩家至少完全重合4题
[D] 单回合在T2~T5中，全部获得前三高的分数
[E] 获得1次排名1
[F] 连续2次在T3得到前3高的总分数
[G] 总计5次在T1得到前3高的总分数
[H] 获得2次排名1~3
[I] 总计3次在T4得到前3高的总分数
[J] 连续2次排名1~6
[K] 累计选择8个C选项（含多选）
[L] 总计3次在T3得到前3高的总分数
[M] 单回合所有题目均未选中人数最多项
[N] 总计4次在T6得到前3低的总分数
[O] 总计4次在T6得到前3高的总分数
[P] 单回合在T7~T9的选择项数完全相同，且最终结算排名为1~6
[Q] 总计3次在T8得到前3低的总分数
[R] 累计选择10个D选项（含多选）
[S] 在T1中独享过公正（仅你一人选择某个公正选项）
[T] 总计3次在T2得到前3高的总分数
[U] 你的问卷填写时间在所有人中最短的三位
[V] 总计6次在T1得到前3低的总分数
[W] 单回合在T1~T5完全选同一选项，且最终结算排名为1~6
[X] 在T1中达成5次勇气
[Y] 连续4次在T1得到前3高的总分数
