T1	谨慎团结公正智慧勇气题
	谨慎区
1	A.谨慎(+1)
2	A.谨慎(若人数<5,+2)
3	A.谨慎(若人数>5,+2)
4	A.谨慎(若任意两项人数相同，+3)
	团结区
1	B.团结(人数最多+4)
2	B.团结(人数最多+2,每有1人额外+0.5)
3	B.团结(人数最多每有1人+1)
4	B.团结(人数非最少+2，无视0人项)
	公正区
1	C.公正(平分5分)
2	C.公正(平分7.5分，额外-1)
3	C.公正(平分4分，每多1人总平分数+1)
4	C.公正(平分4分，额外+0.5)
	智慧区
1	D.智慧(人数最少+5，否则-1)
2	D.智慧(人数最少+3,无视0人项，否则-1)
3	D.智慧(人数非最多+2，否则-1)
4	D.智慧(人数最少每有1人+3，否则-1)
	勇气区
1	E.勇气(人数=1则+5，否则-2）
2	E.勇气(人数=2则+7，否则-2）
3	E.勇气(人数=3则+10，否则-2）
4	E.勇气(人数<3则+3.5，否则-2）
	
注：	每次5个区各抽一道（A~E选项）
	随机抽一区再抽一道（F选项）组成完整题目


T10保护费题
A.-3
B.若你是第一，你的分数归零
