编号,开始答题时间,结束答题时间,答题时长,1.title,2.title,3.title,4.title,5.title,6.title,7.title:1,7.title:2,7.title:3,8.title:1,8.title:2,8.title:3,9.title:1,9.title:2,9.title:3,10.title,16.id,语言,清洗数据结果,智能清洗数据无效概率,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer
10,2026/7/16 20:36,2026/7/16 20:37,60,2,2,5,3,3,2,1,,,1,,,1,,,3,Mithril,简体中文,未清洗,,中国,湖北省,武汉市,,111*********,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0",
9,2026/7/16 20:30,2026/7/16 20:33,145,2,2,2,3,2,4,,1,,,1,,,1,,2,落天本天,简体中文,未清洗,,中国,四川省,自贡市,,240***********************************,"Mozilla/5.0 (Linux; Android 16; 25113PN0EC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.5_14540_YYB_D QQ/9.3.5.37250 NetType/WIFI WebP/0.",
8,2026/7/16 20:23,2026/7/16 20:25,106,5,5,5,2,5,5,1,,1,1,,1,1,,1,5,奇策十二,简体中文,未清洗,,中国,福建省,,,211***********,"Mozilla/5.0 (Linux; Android 12; FIN-AL60a Build/HUAWEIFIN-AL60a; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.15_14880_YYB_D QQ/9.3.15.38100 NetType/4G WebP/0.3.0 ",
7,2026/7/16 19:05,2026/7/16 19:07,139,4,2,2,2,2,2,,,1,,,1,,,1,2,西二旗四惠东,简体中文,未清洗,,中国,北京市,北京市,,240************************************,"Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.20_15050_YYB_D QQ/9.3.20.38525 NetType/WIFI WebP/0.3",
6,2026/7/16 18:51,2026/7/16 18:55,218,2,4,1,3,4,1,,1,1,,1,1,,1,1,4,Tuffy,简体中文,未清洗,,中国,山东省,济南市,,112***********,"Mozilla/5.0 (Linux; Android 10; PPA-AL20 Build/HUAWEIPPA-AL40; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.20_15050_YYB_D QQ/9.3.20.38525 NetType/WIFI WebP/0.3.0 ",
5,2026/7/16 18:44,2026/7/16 18:47,180,2,2,2,2,2,2,,,,,,,,,,2,花祁,简体中文,未清洗,,中国,江西省,南昌市,,183************,"Mozilla/5.0 (Linux; Android 10; V2002A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.70_13350_YYB_D QQ/9.2.70.34275 NetType/WIFI WebP/0.3.0 A",
4,2026/7/16 18:45,2026/7/16 18:46,103,2,2,2,2,2,2,,1,,,1,,,1,,2,落月,简体中文,未清洗,,中国,辽宁省,沈阳市,,123************,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) QQEX/9.9.31-49738 Chrome/138.0.7204.35  Safari/537.36 OS/win32,x64 QQAppId/537355830 QQEXBrowser/1.0.0.0 QQWebContentView/1.0.0.0",
3,2026/7/16 18:29,2026/7/16 18:32,171,2,2,2,2,2,2,,1,,,1,,,1,,2,#￥#&,简体中文,未清洗,,中国,广东省,广州市,,240***********************************,"Mozilla/5.0 (Linux; Android 11; NTH-AN00 Build/HONORNTH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.3.20_15050_YYB_D QQ/9.3.20.38525 NetType/4G WebP/0.3.0 App",
2,2026/7/16 18:27,2026/7/16 18:30,149,4,2,3,3,2,4,,,,,,,,,,2,飞鼠_Triones,简体中文,未清洗,,中国,辽宁省,丹东市,,112**********,"Mozilla/5.0 (Linux; Android 16; 24069RA21C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36 V1_AND_SQ_9.3.25_15178_HDBM_T QQ/9.3.25.38845 NetType/WIFI WebP/0.4.1 AppId/537374827 Pi",
1,2026/7/16 18:26,2026/7/16 18:27,67,2,2,2,3,2,2,,1,,,1,,,1,,2,耀呼吁团结,简体中文,未清洗,,中国,山东省,泰安市,,240**********************************,"Mozilla/5.0 (Linux; Android 13; RMO-AN00 Build/HONORRMO-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047935 Mobile Safari/537.36 V1_AND_SQ_9.3.5_14540_YYB_D QQ/9.3.5.37250 NetType/4G WebP/0.3.0 AppId",
