赛季  任务板
============================================================
[A] 总计4次在T4选择得分最高的选项
[B] T7~T9某题仅选择1个选项且在该题的得分前三高
[C] 某回合你的作答与另一玩家至少完全重合5题
[D] 总计3次在T7得到前3高的总分数
[E] 总计5次在T5选择得分最低的选项
[F] 在T10中选择B选项并最终结算排名为1
[G] 累计选择6个B选项（含多选）
[H] 获得2次排名1
[I] 连续3次排名1~6
[J] 总计2次在T5选择得分最高的选项
[K] 连续2次在T6得到前3高的总分数
[L] 某回合你未完成你的盘面上的任何未完成任务
[M] 连续2次在T5选择得分最高的选项
[N] 在T1中达成4次勇气
[O] 连续3次在T7得到前3高的总分数
[P] 累计选择11个C选项（含多选）
[Q] 总计5次在T6得到前3高的总分数
[R] 总计2次在T8得到前3高的总分数
[S] 连续2次在T2选择得分最高的选项
[T] 在T1中独享过公正（仅你一人选择某个公正选项）
[U] 累计选择10个D选项（含多选）
[V] 连续3次在除T10外某题获得最低分
[W] 总计1次在T2选择得分最低的选项
[X] 总计3次在T8得到前3低的总分数
[Y] 总分达到67分
